date,target_group,value,population
1/1/22,Pediatric,57,1752418
1/1/22,Adult,153,5236907
1/1/22,Overall,210,6989325
1/8/22,Pediatric,65,1752418
1/8/22,Adult,193,5236907
1/8/22,Overall,258,6989325
1/15/22,Pediatric,68,1752418
1/15/22,Adult,181,5236907
1/15/22,Overall,249,6989325
1/22/22,Pediatric,71,1752418
1/22/22,Adult,206,5236907
1/22/22,Overall,277,6989325
1/29/22,Pediatric,62,1752418
1/29/22,Adult,208,5236907
1/29/22,Overall,270,6989325
2/5/22,Pediatric,59,1752418
2/5/22,Adult,212,5236907
2/5/22,Overall,271,6989325
2/12/22,Pediatric,55,1752418
2/12/22,Adult,181,5236907
2/12/22,Overall,236,6989325
2/19/22,Pediatric,37,1752418
2/19/22,Adult,148,5236907
2/19/22,Overall,185,6989325
2/26/22,Pediatric,36,1752418
2/26/22,Adult,154,5236907
2/26/22,Overall,190,6989325
3/5/22,Pediatric,28,1752418
3/5/22,Adult,116,5236907
3/5/22,Overall,144,6989325
3/12/22,Pediatric,25,1752418
3/12/22,Adult,83,5236907
3/12/22,Overall,108,6989325
3/19/22,Pediatric,17,1752418
3/19/22,Adult,83,5236907
3/19/22,Overall,100,6989325
3/26/22,Pediatric,18,1752418
3/26/22,Adult,62,5236907
3/26/22,Overall,80,6989325
4/2/22,Pediatric,14,1752418
4/2/22,Adult,54,5236907
4/2/22,Overall,68,6989325
4/9/22,Pediatric,14,1752418
4/9/22,Adult,36,5236907
4/9/22,Overall,50,6989325
4/16/22,Pediatric,12,1752418
4/16/22,Adult,28,5236907
4/16/22,Overall,40,6989325
4/23/22,Pediatric,1,1752418
4/23/22,Adult,29,5236907
4/23/22,Overall,30,6989325
4/30/22,Pediatric,6,1752418
4/30/22,Adult,34,5236907
4/30/22,Overall,40,6989325
5/7/22,Pediatric,10,1752418
5/7/22,Adult,20,5236907
5/7/22,Overall,30,6989325
5/14/22,Pediatric,10,1752418
5/14/22,Adult,20,5236907
5/14/22,Overall,30,6989325
5/21/22,Pediatric,8,1752418
5/21/22,Adult,22,5236907
5/21/22,Overall,30,6989325
5/28/22,Pediatric,8,1752418
5/28/22,Adult,27,5236907
5/28/22,Overall,35,6989325
6/4/22,Pediatric,9,1752418
6/4/22,Adult,24,5236907
6/4/22,Overall,33,6989325
6/11/22,Pediatric,9,1752418
6/11/22,Adult,24,5236907
6/11/22,Overall,33,6989325
6/18/22,Pediatric,5,1752418
6/18/22,Adult,18,5236907
6/18/22,Overall,23,6989325
6/25/22,Pediatric,6,1752418
6/25/22,Adult,23,5236907
6/25/22,Overall,29,6989325
7/2/22,Pediatric,6,1752418
7/2/22,Adult,31,5236907
7/2/22,Overall,37,6989325
7/9/22,Pediatric,5,1752418
7/9/22,Adult,15,5236907
7/9/22,Overall,20,6989325
7/16/22,Pediatric,9,1752418
7/16/22,Adult,27,5236907
