model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-07,0,2.861415949017094,14.0,84.4766322545117,1.0,58.474219310615645,1.0,42.22938569509051,1.0,29.025263888850915,1.0,21.500195473222902,1.0,16.292290011985553,1.0,12.991318640625494,1.0,9.74348898046912,1.0,7.4511593239654355,0.0,4.383640338278688,0.0,2.150019547322291,0.0,4.6601453022
adaptive,2023-24,02,2023-10-07,1,5.960180970790806,21.0,194.57717185757102,1.0,126.66535674609857,1.0,85.5261810507845,1.0,53.750488683057256,1.0,38.70035185180122,1.0,28.871760390782484,1.0,21.522936732196,1.0,17.056049631482228,1.0,10.905811433993442,0.0,7.44547400922216,0.0,4.171014413264105,0.0,8.7558182197
adaptive,2023-24,02,2023-10-07,2,9.84884402229268,30.0,260.1523652259971,1.0,179.6465090982021,1.0,122.97231277555501,1.0,76.38610005870082,1.0,55.5915864359283,1.0,40.85037139912352,1.0,30.100273662512063,1.0,22.433072378302164,0.0,16.087146039628948,0.0,9.714885166153234,0.0,5.314247963844556,0.0,14.7521359533
adaptive,2023-24,02,2023-10-07,3,11.138190659679044,33.0,254.77731635769138,1.0,179.6465090982021,1.0,129.38825952906222,1.0,85.5261810507845,1.0,61.281242413428544,1.0,46.21782015437159,1.0,34.64351637500132,1.0,25.777434228694542,0.0,18.178515801603783,0.0,11.83118760071843,0.0,5.413049433593956,0.0,16.3082053601
adaptive,2023-24,06,2023-10-07,0,10.224485780930927,60.0,153.29612972319723,1.0,113.85767404670777,1.0,86.89138282511908,1.0,62.92134618370693,1.0,48.48755963245496,1.0,38.802911301508985,1.0,30.02747003210898,0.0,23.47272399726679,0.0,16.82221456636192,0.0,10.986266793980576,0.0,5.343718383211318,0.0,16.7971728347
adaptive,2023-24,06,2023-10-07,1,9.131418453457577,50.0,285.97657403683286,1.0,192.82351111189348,1.0,139.44254125678154,1.0,92.92737110997659,1.0,69.75029629492603,1.0,53.10881129124374,1.0,41.36736603763501,1.0,30.961297328490705,1.0,22.035139095792644,0.0,14.636407372796455,0.0,7.0677785299837055,0.0,23.3952005327
adaptive,2023-24,06,2023-10-07,2,21.74769361634112,76.0,418.52552363939236,1.0,281.0023089813454,1.0,194.9053267086461,1.0,125.84269236741386,1.0,91.67181798761706,1.0,68.2784002987631,1.0,51.45618573240118,0.0,39.4067009578244,0.0,27.965042748314186,0.0,17.218222782996204,0.0,8.178185560640483,0.0,33.3479716648
adaptive,2023-24,06,2023-10-07,3,33.846589731739506,97.0,538.0737142751436,1.0,351.27821233355945,1.0,240.72674642107742,1.0,153.8193287282894,1.0,108.86391641308023,1.0,80.08399698956977,0.0,60.36206403223985,0.0,44.092419070483885,0.0,31.005353056223985,0.0,20.577773844601364,0.0,9.987515267255066,0.0,43.6400139956
adaptive,2023-24,36,2023-10-07,0,8.492356359696563,26.0,245.21486438079202,1.0,167.05164693285224,1.0,121.766583068707,1.0,82.51176028847735,1.0,62.75868859048861,1.0,48.724465278313694,1.0,38.023146569427425,1.0,29.100983081127666,0.0,21.13900179562137,0.0,13.622216726550779,0.0,7.030104750752763,0.0,16.1046940309
adaptive,2023-24,36,2023-10-07,1,10.159733615218505,33.0,438.43885853933784,1.0,291.7374772005754,1.0,198.7804304730248,1.0,128.5729465159081,1.0,94.33168872668973,1.0,72.05641639737553,1.0,55.50858574734637,1.0,41.806043010633786,1.0,29.981764896298518,1.0,19.34225498479005,1.0,9.751211156330356,0.0,17.7194042618
adaptive,2023-24,36,2023-10-07,2,12.734020844848557,47.0,602.2797252539184,1.0,390.5245709187387,1.0,264.9855063451786,1.0,165.16484725857825,1.0,116.94253886947229,1.0,88.11237139366175,1.0,67.12062467091384,1.0,49.43227329530487,1.0,35.70972257576105,1.0,22.675886713146568,1.0,11.367019998436227,0.0,20.6094056806
adaptive,2023-24,36,2023-10-07,3,15.900594396014862,56.0,657.4067497828166,1.0,426.34809248795256,1.0,293.0248299085515,1.0,180.61542407656475,1.0,130.19484728038893,1.0,94.43475711011303,1.0,70.14469428633103,1.0,51.37440421601825,1.0,36.27037873420813,1.0,23.547233305637445,0.0,11.401668250877044,0.0,24.8088182321
adaptive,2023-24,42,2023-10-07,0,5.842786897033481,40.0,182.10981517770443,1.0,127.67906504156964,1.0,92.99012494108949,1.0,64.33893700270293,1.0,50.33304059874747,1.0,39.93978541606317,1.0,30.87498777129631,1.0,23.653996311008363,1.0,17.460110310527828,1.0,11.028586111789252,0.0,5.572993313869276,0.0,13.6309845545
adaptive,2023-24,42,2023-10-07,1,8.68630018012972,38.0,411.7696743137765,1.0,249.85586690513935,1.0,162.59423061358194,1.0,101.3209788792581,1.0,74.3510300156531,1.0,56.785105317897035,1.0,43.65511429197602,1.0,32.68405991685812,1.0,23.424893102512755,1.0,15.622272296630356,0.0,8.007288422955995,0.0,16.8022643383
adaptive,2023-24,42,2023-10-07,2,15.416325951291336,49.0,874.0404063806869,1.0,494.17980540374134,1.0,295.9727450752824,1.0,159.9142389495434,1.0,108.455423738916,1.0,78.04088461454099,1.0,57.90007708689356,1.0,43.068111712229474,1.0,30.651463226281038,0.0,19.30268732748873,0.0,9.521565193276334,0.0,17.1923817632
adaptive,2023-24,42,2023-10-07,3,17.55181382635917,30.0,1507.3480484606605,1.0,906.2535197990585,1.0,518.3802258394487,1.0,256.41330226234356,1.0,158.0878264772783,1.0,108.39884655094875,1.0,77.13309602931268,1.0,55.82711772348204,1.0,38.6027779409701,1.0,24.314851487575268,1.0,12.07481884671677,1.0,23.62358116
adaptive,2023-24,56,2023-10-07,0,6.647833127964145,4.0,203.52651331297955,1.0,138.93103206434188,1.0,97.8110405545795,1.0,61.99855430286672,1.0,44.546720623325626,1.0,32.83335078717879,0.0,24.767776752373173,0.0,18.10117672450497,0.0,13.333200055736409,0.0,9.003827932696757,0.0,4.444400018578801,0.0,1.1312251014
adaptive,2023-24,56,2023-10-07,1,13.748223736008338,4.0,418.69117689925,1.0,299.36704074607576,1.0,211.10900088249312,1.0,135.53982207971106,1.0,98.98410537127825,1.0,75.23433421755357,1.0,56.66610023687973,0.0,43.074394351953345,0.0,30.92077459255337,0.0,19.99980008360461,0.0,10.039319096164423,0.0,1.1858862424
adaptive,2023-24,56,2023-10-07,3,9.378575788487321,1.0,283.34010619978204,1.0,196.00539946440435,1.0,135.05741899045134,1.0,86.66580036228665,1.0,64.15227402046439,1.0,49.50131335890048,0.0,38.698474625066275,0.0,29.956564664579734,0.0,21.36599644674734,0.0,13.759497143463769,0.0,7.100451316497487,0.0,1.4472198664
adaptive,2023-24,02,2023-10-14,0,3.6411637924676894,21.0,111.84239893919133,1.0,78.41117584949278,1.0,57.48531261649731,1.0,39.753806143244596,1.0,30.032499746743856,1.0,23.80089630929345,1.0,18.681323212206436,1.0,14.45655592842725,1.0,10.356034395428917,1.0,6.366495775873213,0.0,4.008236882118188,0.0,6.7974651878
adaptive,2023-24,02,2023-10-14,1,7.0445186186708275,30.0,237.66794531084855,1.0,159.82909859332173,1.0,114.94748608921272,1.0,74.73428424892226,1.0,54.969437284296745,1.0,41.85885357258307,1.0,32.103706625829645,1.0,24.75864192327699,1.0,17.76818753600826,1.0,11.497062523299464,0.0,5.227469898245374,0.0,12.6547186274
adaptive,2023-24,02,2023-10-14,2,8.995830009676308,33.0,296.83325060154976,1.0,216.91091951950807,1.0,159.4806818395812,1.0,104.82972379634184,1.0,77.63192171541591,1.0,58.5745173939221,1.0,44.512965100151284,1.0,33.51936219329134,1.0,24.739473798126504,1.0,15.567769343505363,0.0,8.244366215908748,0.0,14.2374735947
