model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-07,0,2.7605799585640343,14.0,82.36533893477528,1.0,55.65951400786081,1.0,40.824074153839604,1.0,27.751487029601325,1.0,21.091130142497008,1.0,16.54779250170671,1.0,12.245020865042612,1.0,9.975862131219756,1.0,7.681063281041496,1.0,4.440237924736212,0.0,2.2201189623681064,0.0,4.6601453022
adaptive,2023-24,02,2023-10-07,1,5.7409841937854305,21.0,169.8396163117903,1.0,113.52796972000986,1.0,79.4294040081922,1.0,51.05980149457909,1.0,36.7346752751308,1.0,27.559034226300362,1.0,20.073125996448947,1.0,15.444606334926263,0.0,11.031861667804472,0.0,6.746620406465033,0.0,3.3624594823129446,0.0,8.7558182197
adaptive,2023-24,02,2023-10-07,2,9.734958484989859,30.0,240.4984675887249,1.0,164.37473885028663,1.0,115.75138859142531,1.0,72.81028700750952,1.0,52.16986097576314,1.0,38.597769208508446,1.0,28.66222039308081,1.0,21.091130142497004,0.0,15.395566563471512,0.0,8.972608648607824,0.0,5.437467199574636,0.0,14.7521359533
adaptive,2023-24,02,2023-10-07,3,11.057002132973219,33.0,241.99296689812354,1.0,171.40109464499517,1.0,123.55685067941009,1.0,81.6357763417531,1.0,57.723093021570755,1.0,41.921074337657,1.0,32.185855674562845,1.0,24.240671806296987,0.0,16.685258789778825,0.0,11.082986972516464,0.0,5.550297405920265,0.0,16.3082053601
adaptive,2023-24,06,2023-10-07,0,10.024592413050817,60.0,151.26871279307684,1.0,109.70415236746818,1.0,84.78861193252723,1.0,61.19242745326265,1.0,48.07506491179345,1.0,37.963518311614536,1.0,29.390480596559073,0.0,23.085039079997756,0.0,16.84992290083499,0.0,10.92806121491914,0.0,5.656626722548836,0.0,16.7971728347
adaptive,2023-24,06,2023-10-07,1,8.75905430191504,50.0,277.3963385200872,1.0,185.41360830932908,1.0,131.2394186354731,1.0,88.84978257527517,1.0,66.1437270282604,1.0,51.3354299323812,1.0,39.89862114323401,1.0,29.871151301346682,1.0,21.71883574062282,0.0,14.18850787420093,0.0,7.031672072881882,0.0,23.3952005327
adaptive,2023-24,06,2023-10-07,2,21.61717436241446,76.0,384.73166007034496,1.0,255.54724398548132,1.0,183.58077470745945,1.0,118.40321284486973,1.0,85.36176918350365,1.0,63.823062668224836,1.0,48.64631271154606,0.0,36.40227017490102,0.0,26.49351586038609,0.0,16.902046339416994,0.0,7.897758451135573,0.0,33.3479716648
adaptive,2023-24,06,2023-10-07,3,34.037692734320125,97.0,471.2934361150716,1.0,314.17956521984155,1.0,217.10962228093237,1.0,139.15962735735962,1.0,99.70920044558657,1.0,75.20789387374005,0.0,56.10799723336021,0.0,41.45036758749556,0.0,29.461830863332587,0.0,18.846003227430828,0.0,9.189826978022616,0.0,43.6400139956
adaptive,2023-24,36,2023-10-07,0,7.845290352949412,26.0,221.71653841916432,1.0,151.689914570388,1.0,111.68867709476578,1.0,77.79170608417635,1.0,58.80784956372682,1.0,45.66923751939062,1.0,36.183918401755406,1.0,27.404882634429345,1.0,19.7886470953532,0.0,12.628494355856166,0.0,6.119398802301369,0.0,16.1046940309
adaptive,2023-24,36,2023-10-07,1,9.277705888964118,33.0,440.2501483785632,1.0,276.23699868617194,1.0,186.3924924075486,1.0,120.80594356601506,1.0,88.44133568317356,1.0,67.11618956713457,1.0,51.38797265338944,1.0,38.898137651686596,1.0,27.812116372791273,1.0,18.145560526901438,1.0,8.850452857420173,1.0,17.7194042618
adaptive,2023-24,36,2023-10-07,2,12.434004091493646,47.0,638.8252034274154,1.0,392.6388832026989,1.0,260.7294825878845,1.0,155.01008297158378,1.0,108.87734529940016,1.0,79.7134100298764,1.0,60.51384925752397,1.0,45.303272801506616,1.0,32.33339154008496,1.0,20.921606290643208,0.0,10.067161963834586,0.0,20.6094056806
adaptive,2023-24,36,2023-10-07,3,16.581989035729357,56.0,749.6643770304075,1.0,477.0570375493909,1.0,305.2652554225668,1.0,178.06755918364163,1.0,121.4662068986269,1.0,85.90098442606188,1.0,62.68334910411413,1.0,45.43371688917301,1.0,32.2313642789368,0.0,20.29737903725218,0.0,10.067161963834586,0.0,24.8088182321
adaptive,2023-24,42,2023-10-07,0,5.873331103834157,40.0,176.1097904243198,1.0,121.97296008500389,1.0,90.31618161772825,1.0,62.89408738802497,1.0,48.774821345696765,1.0,37.82484160375999,1.0,29.38309825082686,1.0,22.29199093521838,1.0,16.596596142442152,1.0,10.252761656577952,0.0,5.4880397752242835,0.0,13.6309845545
adaptive,2023-24,42,2023-10-07,1,8.554335204084742,38.0,395.8646987545327,1.0,239.5091439699828,1.0,155.05675640130943,1.0,96.19095718168526,1.0,68.69841395039342,1.0,52.5467001023364,1.0,39.74246183443424,1.0,30.27656034921883,1.0,21.855749461783994,1.0,13.902495055351778,0.0,6.901167826716218,0.0,16.8022643383
adaptive,2023-24,42,2023-10-07,2,15.411753843851438,49.0,860.1783854667207,1.0,463.37951800790603,1.0,269.14455901657544,1.0,146.12858205671077,1.0,97.10435050831182,1.0,69.51247527675888,1.0,51.65067767545012,1.0,37.8498488600638,1.0,26.79367913689968,0.0,17.133906940115285,0.0,8.32421744841507,0.0,17.1923817632
adaptive,2023-24,42,2023-10-07,3,15.691490521348724,30.0,1481.713658488708,1.0,817.6693816968118,1.0,465.2293441075538,1.0,220.561204163043,1.0,134.112392224465,1.0,92.48170521305856,1.0,65.84276279370754,1.0,48.020004644351296,1.0,32.4621945755488,1.0,20.85376431247835,1.0,10.137564424604651,0.0,23.62358116
adaptive,2023-24,56,2023-10-07,0,6.12471972588918,4.0,191.29858479293347,1.0,132.87625817152627,1.0,93.16917820514367,1.0,57.33487889547302,1.0,41.80668252794908,1.0,30.781119596151797,1.0,23.859218031309634,0.0,17.53132658517945,0.0,12.811293471005076,0.0,7.558793137281267,0.0,3.757050312312206,0.0,1.1312251014
adaptive,2023-24,56,2023-10-07,1,13.186535778929395,4.0,394.86562464672977,1.0,293.2579613792083,1.0,213.88375921146678,1.0,141.0222588207473,1.0,101.56909701769906,1.0,74.30954899716903,1.0,53.99640726159792,0.0,39.79802449179498,0.0,28.245191330585243,0.0,17.954487917885004,0.0,8.64210551430865,0.0,1.1858862424
adaptive,2023-24,56,2023-10-07,3,10.64011851366703,1.0,296.6806109174595,1.0,204.25550606512263,1.0,148.92982341590363,1.0,97.54039568435023,1.0,70.54082991630926,0.0,54.945925608161645,0.0,43.00115917160477,0.0,31.954777534901876,0.0,22.90969968474591,0.0,14.653700747600046,0.0,7.528478295477143,0.0,1.4472198664
