state,asof,rep,sbeta,omega_wk,eps1,Reff,skeleton,skeleton_own_integrator,generative_median,generative_frac_bimodal
New York,2026-01-07,0,0.0438,0.06482,0.293,0.992,1.0,1.0,0.3333333333333333,0.125
New York,2026-01-07,1,0.0433,0.05037,0.24,1.029,1.0,1.0,0.3333333333333333,0.125
New York,2026-01-07,2,0.0455,0.04507,0.326,1.01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13
New York,2026-02-04,0,0.0514,0.05373,0.25,0.884,1.0,1.0,0.3333333333333333,0.125
New York,2026-02-04,1,0.0449,0.05699,0.254,0.848,1.0,1.0,0.3333333333333333,0.135
New York,2026-02-04,2,0.0491,0.05532,0.278,0.795,0.3333333333333333,0.3333333333333333,0.0,0.105
New York,2026-03-04,0,0.0428,0.06072,0.217,1.016,1.0,1.0,0.3333333333333333,0.125
New York,2026-03-04,1,0.0432,0.06437,0.186,0.925,1.0,1.0,0.3333333333333333,0.095
New York,2026-03-04,2,0.0464,0.0481,0.306,0.897,1.0,1.0,0.3333333333333333,0.105
Pennsylvania,2026-01-07,0,0.0451,0.05376,0.253,1.185,1.0,1.0,0.3333333333333333,0.15
Pennsylvania,2026-01-07,1,0.0437,0.06271,0.189,1.201,1.0,1.0,0.3333333333333333,0.11
Pennsylvania,2026-01-07,2,0.0392,0.06305,0.228,1.166,1.0,1.0,0.6666666666666666,0.165
Pennsylvania,2026-02-04,0,0.051,0.046,0.275,0.92,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.17
Pennsylvania,2026-02-04,1,0.0447,0.04744,0.276,0.888,1.0,1.0,0.3333333333333333,0.11
Pennsylvania,2026-02-04,2,0.0483,0.0456,0.22,0.943,0.6666666666666666,0.6666666666666666,0.0,0.09
Pennsylvania,2026-03-04,0,0.0446,0.05155,0.241,0.939,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.065
Pennsylvania,2026-03-04,1,0.0463,0.05172,0.254,0.903,1.0,1.0,0.3333333333333333,0.11
Pennsylvania,2026-03-04,2,0.0484,0.04828,0.24,0.939,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.115
North Carolina,2026-01-07,0,0.0579,0.05614,0.294,1.134,1.0,1.0,0.3333333333333333,0.135
North Carolina,2026-01-07,1,0.0548,0.0542,0.292,1.12,1.0,1.0,0.3333333333333333,0.12
North Carolina,2026-01-07,2,0.0594,0.05669,0.363,1.098,1.0,1.0,0.5,0.145
North Carolina,2026-02-04,0,0.0762,0.05607,0.402,0.765,0.3333333333333333,0.3333333333333333,0.0,0.11
North Carolina,2026-02-04,1,0.072,0.06074,0.323,0.809,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15
North Carolina,2026-02-04,2,0.0628,0.059,0.354,0.857,1.0,1.0,0.3333333333333333,0.125
North Carolina,2026-03-04,0,0.0601,0.05369,0.283,1.017,1.0,1.0,0.3333333333333333,0.145
North Carolina,2026-03-04,1,0.0684,0.06163,0.313,0.927,1.0,1.0,0.3333333333333333,0.11
North Carolina,2026-03-04,2,0.0643,0.04727,0.301,0.973,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.18
