state,asof,horizon,target,actual,usable,excluded,anchor_scale_max,median_rescaled,width_rel,covered
New York,2026-01-07,1,2026-01-10,449.0,True,False,0.99214840016127,540.250433857458,1.4848034096367215,True
New York,2026-01-07,2,2026-01-17,400.0,True,False,0.99214840016127,610.171266099181,2.6361275895535856,True
New York,2026-01-07,3,2026-01-24,328.0,True,False,0.99214840016127,682.4145646448608,4.888078979763311,True
New York,2026-01-07,4,2026-01-31,345.0,True,False,0.99214840016127,753.2126174610423,6.515596804320197,True
New York,2026-02-04,1,2026-02-07,337.0,True,False,0.9548642586180539,275.9557707406176,0.9761337700809223,True
New York,2026-02-04,2,2026-02-14,327.0,True,False,0.9548642586180539,251.83886364721187,1.2164860316570214,True
New York,2026-02-04,3,2026-02-21,411.0,True,False,0.9548642586180539,228.2125578097149,1.1571547351454157,True
New York,2026-02-04,4,2026-02-28,401.0,True,False,0.9548642586180539,205.38208560159788,1.4531847365400645,True
New York,2026-03-04,1,2026-03-07,325.0,True,False,1.0137477280058784,360.0342380290117,1.2808444801203394,True
New York,2026-03-04,2,2026-03-14,303.0,True,False,1.0137477280058784,357.65824385221885,1.8067083687693617,True
New York,2026-03-04,3,2026-03-21,301.0,True,False,1.0137477280058784,353.98324243188546,2.4228408444049436,True
New York,2026-03-04,4,2026-03-28,,False,True,,,,
Pennsylvania,2026-01-07,1,2026-01-10,873.0,True,False,1.0488458034835133,1075.0972197956949,1.5201263816347628,True
Pennsylvania,2026-01-07,2,2026-01-17,882.0,True,False,1.0488458034835133,1270.1522680185346,2.3943795822732343,True
Pennsylvania,2026-01-07,3,2026-01-24,734.0,True,False,1.0488458034835133,1440.0652881828637,3.9668873708484265,True
Pennsylvania,2026-01-07,4,2026-01-31,694.0,True,False,1.0488458034835133,1554.3894807625668,5.082268271204499,True
Pennsylvania,2026-02-04,1,2026-02-07,612.0,True,False,0.9365082368626052,620.4794428492011,1.1835768267674183,True
Pennsylvania,2026-02-04,2,2026-02-14,524.0,True,False,0.9365082368626052,562.8414503544258,1.654697174167527,True
Pennsylvania,2026-02-04,3,2026-02-21,549.0,True,False,0.9365082368626052,504.7779396689442,1.8439429028538106,True
Pennsylvania,2026-02-04,4,2026-02-28,501.0,True,False,0.9365082368626052,446.7144289834627,2.3241071114280776,True
Pennsylvania,2026-03-04,1,2026-03-07,406.0,True,False,1.025233627122494,440.9011457779336,1.2769919154467064,True
Pennsylvania,2026-03-04,2,2026-03-14,384.0,True,False,1.025233627122494,397.79064732352765,1.6273688823291381,True
Pennsylvania,2026-03-04,3,2026-03-21,446.0,True,False,1.025233627122494,355.75606861150544,1.6894721874955516,True
Pennsylvania,2026-03-04,4,2026-03-28,,False,True,,,,
North Carolina,2026-01-07,1,2026-01-10,222.0,True,False,0.9955274739459649,261.82372564778876,1.649209446248584,True
North Carolina,2026-01-07,2,2026-01-17,204.0,True,False,0.9955274739459649,319.9799443346309,3.114751150352872,True
North Carolina,2026-01-07,3,2026-01-24,173.0,True,False,0.9955274739459649,386.55962219307895,5.956026112283824,True
North Carolina,2026-01-07,4,2026-01-31,170.0,True,False,0.9955274739459649,448.98289074963014,8.918909755492498,True
North Carolina,2026-02-04,1,2026-02-07,158.0,True,False,0.9566166785696562,153.05866857114498,1.30172522716757,True
North Carolina,2026-02-04,2,2026-02-14,177.0,True,False,0.9566166785696562,142.38654960749855,1.4882365292465465,True
North Carolina,2026-02-04,3,2026-02-21,215.0,True,False,0.9566166785696562,131.05648496404288,1.558774251457096,True
North Carolina,2026-02-04,4,2026-02-28,202.0,True,False,0.9566166785696562,118.6554580062488,2.032506141929109,True
North Carolina,2026-03-04,1,2026-03-07,238.0,True,False,1.0177413324668478,197.44181849856847,1.0643501080135993,True
North Carolina,2026-03-04,2,2026-03-14,196.0,True,False,1.0177413324668478,196.79117034678876,1.7112209272092287,True
North Carolina,2026-03-04,3,2026-03-21,207.0,True,False,1.0177413324668478,192.7544283909572,2.1128182115365313,True
North Carolina,2026-03-04,4,2026-03-28,,False,True,,,,
