Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.000387370203983384e+00 7.181714095079604065e-02 2.387365771031109318e+01 4.520095905031945582e-01 3.228956526470613819e-01 2.781970801176158403e+01
1.045482346489698955e+00 2.129613468341403845e-02 2.730724083174607841e+01 4.737262301445864798e-01 2.965754194856997095e-01 2.530404083248693681e+01
1.051579822937413589e+00 3.641488586670272448e-02 2.992612847804673848e+01 5.429172232498900019e-01 2.665860953432822589e-01 2.440780042103133951e+01
1.050227747603612372e+00 3.620532468004794557e-02 2.775126646223923998e+01 4.239515414847035979e-01 3.250052577819474431e-01 2.538463527011195708e+01
1.080822074703600366e+00 0.000000000000000000e+00 1.946908308199670401e+01 2.090793152985788994e-01 2.841542153745519883e-01 3.776349447047238073e+01
1.075246153591203013e+00 0.000000000000000000e+00 2.482798396283187969e+01 2.591153355383787882e-01 2.418184275847284903e-01 3.438765525129790035e+01
1.075246153591203013e+00 0.000000000000000000e+00 2.482798396283187969e+01 2.591153355383787882e-01 2.418184275847284903e-01 3.438765525129790035e+01
1.055906841536269791e+00 1.604749179873875969e-02 1.902378940170747157e+01 2.367028130926398244e-01 2.930512422626364577e-01 3.770722168027700150e+01
1.064222161837603320e+00 2.579290814550972907e-02 2.693687582744722064e+01 2.595350046708069791e-01 3.007097562886862363e-01 3.540086684198385569e+01
1.064222161837603320e+00 2.579290814550972907e-02 2.693687582744722064e+01 2.595350046708069791e-01 3.007097562886862363e-01 3.540086684198385569e+01
1.090403054399392557e+00 0.000000000000000000e+00 1.750064172190912970e+01 2.668594961765893281e-01 2.601241289033840998e-01 3.629774475734936345e+01
1.055971063871157245e+00 0.000000000000000000e+00 2.271862340243722755e+01 2.663492753310140460e-01 2.892851414390251730e-01 3.543893780252815873e+01
1.055971063871157245e+00 0.000000000000000000e+00 2.271862340243722755e+01 2.663492753310140460e-01 2.892851414390251730e-01 3.543893780252815873e+01
1.016103593423790752e+00 0.000000000000000000e+00 1.831299344033765664e+01 2.205137580785015428e-01 2.342462535462727091e-01 3.818144355587195093e+01
1.030959027608607581e+00 3.455758871522089919e-03 2.208270013665217490e+01 2.785955922863319612e-01 2.993512946920529050e-01 3.687917049296350314e+01
1.030959027608607581e+00 3.455758871522089919e-03 2.208270013665217490e+01 2.785955922863319612e-01 2.993512946920529050e-01 3.687917049296350314e+01
1.072744672767755203e+00 7.951342039714832249e-03 2.187113823447294081e+01 3.813346323774706725e-01 2.638582723727982970e-01 2.888815137681796585e+01
1.056614929519027246e+00 1.834037315630735257e-02 2.109237562567710000e+01 3.760079878845460355e-01 2.577535054321816177e-01 2.905543686042501861e+01
1.056614929519027246e+00 1.834037315630735257e-02 2.109237562567710000e+01 3.760079878845460355e-01 2.577535054321816177e-01 2.905543686042501861e+01
1.102947671064913759e+00 8.849223830595268070e-02 2.119334050338293451e+01 3.809026641910896460e-01 3.554712845027181434e-01 2.858766459242974634e+01
1.101085458184640320e+00 9.602987124295613020e-02 2.475613396236443720e+01 3.048161873404740541e-01 3.714588727358573705e-01 2.776959814988430608e+01
1.128377454887851350e+00 4.479586676334412765e-02 3.199720879425024833e+01 3.271367312363549495e-01 2.523646212093744179e-01 2.830174749344744356e+01
1.180694355149146224e+00 1.157583537082691391e-02 3.028664124130126112e+01 3.517366814218997328e-01 1.820701294102654022e-01 3.092343032474745002e+01
1.076429116289997490e+00 8.100888605093968520e-02 3.188804499309217988e+01 4.232277056724243480e-01 2.749671710640704259e-01 3.047738895597174391e+01
1.048757957167346433e+00 9.767538905124183157e-02 2.655984873020321402e+01 2.719411055807073319e-01 2.288712238750068295e-01 3.424230398485308058e+01
1.048757957167346433e+00 9.767538905124183157e-02 2.655984873020321402e+01 2.719411055807073319e-01 2.288712238750068295e-01 3.424230398485308058e+01
1.080339746335253759e+00 5.878107895215628487e-02 2.064652655866990472e+01 3.672452889803825005e-01 2.377399385445145286e-01 3.249576968263510679e+01
1.080339746335253759e+00 5.878107895215628487e-02 2.064652655866990472e+01 3.672452889803825005e-01 2.377399385445145286e-01 3.249576968263510679e+01
1.065692534329538921e+00 5.115061384239869696e-02 2.256751794128851785e+01 4.917003118002598594e-01 2.613238217117035411e-01 3.248166006173677545e+01
1.065692534329538921e+00 5.115061384239869696e-02 2.256751794128851785e+01 4.917003118002598594e-01 2.613238217117035411e-01 3.248166006173677545e+01
1.103133991445927720e+00 5.866647963903019736e-02 2.268112192390300663e+01 3.550374167401703085e-01 2.675117041049111521e-01 3.899247117956123532e+01
1.096835180826707168e+00 5.809985326286343232e-02 2.091053427797585584e+01 3.031139256105553903e-01 2.710015494937644820e-01 3.703736747195210199e+01
1.013578169122725026e+00 1.249980498938243756e-01 2.774401859314432528e+01 3.580321925865375121e-01 2.873977294287334838e-01 3.479095517124213899e+01
1.013578169122725026e+00 1.249980498938243756e-01 2.774401859314432528e+01 3.580321925865375121e-01 2.873977294287334838e-01 3.479095517124213899e+01
1.001452749230215211e+00 4.137496348907500343e-02 2.590054489335218335e+01 3.164696865644851531e-01 3.672125531701095347e-01 3.640312943699105119e+01
9.693920181507185152e-01 5.879563238765615762e-02 2.687449689207401349e+01 2.474124245026883551e-01 3.585030281550563580e-01 3.436192784114036414e+01
9.899142904338317228e-01 1.753512487794148950e-02 2.348569095790390193e+01 2.784472996196846184e-01 3.831081056161891873e-01 3.690257142410481350e+01
9.899142904338317228e-01 1.753512487794148950e-02 2.348569095790390193e+01 2.784472996196846184e-01 3.831081056161891873e-01 3.690257142410481350e+01
9.691026792300434511e-01 7.184562057766286092e-02 2.867775940990082617e+01 3.017417892184229289e-01 2.921109200678339013e-01 3.885402614145637301e+01
1.217679774696739603e+00 1.123617451672951212e-01 8.566196640716521316e+00 5.361079738004985717e-01 2.417597040162514088e-01 2.774382505998691073e+01
1.144872902332598308e+00 1.225251599014767212e-01 2.493975365636138619e+01 3.149912393515010844e-01 5.357326276421040534e-01 2.799673339929358562e+01
1.144872902332598308e+00 1.225251599014767212e-01 2.493975365636138619e+01 3.149912393515010844e-01 5.357326276421040534e-01 2.799673339929358562e+01
1.278673812566324175e+00 1.356203322896852026e-01 1.908162472108282515e+01 5.454730116775718951e-01 4.147313176182235162e-01 3.057492428683256591e+01
