Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.032724019151416428e+00 3.341571953554694357e-02 3.653649259596667775e+01 4.579760856281039350e-01 3.249924175882353827e-01 2.409494134309264624e+01
1.116481966068523457e+00 5.919773990670842284e-02 3.533194109106364067e+01 5.764961667374508547e-01 1.571489114596673620e-01 2.640619222449707593e+01
1.147998214923931837e+00 3.481667985473101828e-02 1.097572815174873284e+01 5.627523589860498054e-01 3.535058070944316344e-01 2.058086922948063702e+01
1.127530966299559401e+00 7.212019234378212740e-02 2.792218303379637945e+01 4.865540988499857389e-01 3.749420909860577966e-01 2.005673037069637132e+01
1.148552427742053572e+00 4.723612442004805623e-02 1.426561712995067310e+01 4.901637920859793218e-01 3.456052134755064897e-01 2.077955007570375656e+01
1.092762434067577004e+00 1.392174095729774470e-02 2.383725621308046883e+00 5.405285672621802373e-01 3.898338157229687684e-01 2.209609359000564766e+01
1.087852325618143823e+00 5.111588309880987085e-02 6.139864588936804424e+00 5.618011944457024232e-01 3.643170224998238949e-01 3.364233469335904658e+01
1.074901247843380148e+00 6.060293684464305997e-02 5.012802376244411384e+00 5.591760903573880226e-01 3.599042583883544366e-01 3.377715487550567985e+01
1.080235636805122246e+00 5.311373387899750997e-02 1.457446339505482413e+00 5.656186657197854739e-01 3.706432873616312684e-01 3.582573662668189485e+01
1.080235636805122246e+00 5.311373387899750997e-02 1.457446339505482413e+00 5.656186657197854739e-01 3.706432873616312684e-01 3.582573662668189485e+01
1.094880834523544566e+00 4.465193207283520843e-02 8.526491459220824964e+00 5.953131319465007065e-01 3.884651395585849709e-01 3.264721475075838697e+01
1.126891958884842726e+00 2.082082716090335670e-02 1.068559951295471677e+01 5.351428426362454527e-01 3.734817864793506526e-01 3.574672639778866312e+01
1.140826554554743355e+00 2.147990506601697019e-02 5.034991104680445417e+00 5.438621168416480911e-01 3.641787789534609021e-01 3.533937392284045131e+01
1.173165486470815866e+00 1.517758895837567797e-02 8.286670338384251266e+00 5.512905113747622599e-01 3.371978401796575930e-01 3.903539929031074251e+01
1.173165486470815866e+00 1.517758895837567797e-02 8.286670338384251266e+00 5.512905113747622599e-01 3.371978401796575930e-01 3.903539929031074251e+01
1.182833437973177304e+00 0.000000000000000000e+00 2.559376547161390736e+00 5.559855896752828874e-01 3.133671732586888470e-01 3.745226351269161569e+01
1.111527406905132631e+00 2.015905950020505447e-02 7.178594644350157594e+00 5.580092320330469757e-01 3.729589636899612315e-01 3.202496009631719431e+01
1.115366669294725055e+00 3.546061557843432910e-02 2.438536668832295362e+00 5.378908561435774560e-01 3.509687868025544444e-01 3.101818056442590077e+01
1.115366669294725055e+00 3.546061557843432910e-02 2.438536668832295362e+00 5.378908561435774560e-01 3.509687868025544444e-01 3.101818056442590077e+01
1.096704414330208488e+00 1.602918160727839075e-02 4.161394525355222029e+00 5.150452683534986198e-01 3.935151082068564787e-01 3.150260632128278715e+01
1.131383040577331967e+00 0.000000000000000000e+00 2.308302097826502752e+00 5.751246009173428542e-01 3.691546957705723053e-01 3.388486627013507757e+01
1.140280398549407437e+00 3.489968038827873792e-02 1.009756271619487222e+01 5.347894930476664310e-01 3.421677846416112390e-01 3.539652244987782836e+01
