model,season,location,asof,horizon,wis,y,q50,log_growth,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,over,under,base_wis,logwis
member,2023-24,02,2023-10-07,0,2.4148743758679245,14.0,9.8641407271969,0.09168145517151015,51.755833394793065,1.0,37.3292822689226,1.0,29.1126562845711,1.0,20.82429709074901,1.0,16.17369793587283,1.0,13.174387853238105,1.0,9.88079088992858,1.0,7.6721094544864785,1.0,5.391232645290945,0.0,4.175652238584515,0.0,2.0143401997402,0.0,0.0,0.0,4.6601453022,1.2281407063630942
member,2023-24,02,2023-10-07,1,5.227664555110899,21.0,10.960156363552112,0.19704197082933658,57.15648366694992,1.0,42.818610541105144,1.0,33.39010418620981,1.0,24.158594451847087,1.0,18.67111619774584,1.0,14.281503598081104,0.0,11.09637129663501,0.0,9.586504009253781,0.0,6.587193926619053,0.0,4.384062545420845,0.0,2.1920312727104214,0.0,0.0,0.0,8.7558182197,1.8290013917490342
member,2023-24,02,2023-10-07,2,9.69710285663311,30.0,11.860711819640077,0.2760068329517201,74.39901050501503,1.0,56.068819511025815,1.0,42.78014803244728,1.0,30.74174513983698,1.0,23.133655244679964,0.0,18.7211113545237,0.0,14.354817916399881,0.0,10.782465290581888,0.0,7.814262312862656,0.0,4.568034746150914,0.0,2.3697223456806444,0.0,0.0,0.0,14.7521359533,2.36997294374314
member,2023-24,02,2023-10-07,3,10.509186211400369,33.0,12.076522198801598,0.2940386762698239,112.88961054458674,1.0,83.03178787811784,1.0,61.37687563589182,1.0,42.01237638251273,1.0,31.838103978658758,1.0,24.721193666825062,0.0,19.3103418961558,0.0,14.977736654544726,0.0,10.00629358557308,0.0,6.736015783804467,0.0,3.288046909065633,0.0,0.0,0.0,16.3082053601,2.4431455174888277
member,2023-24,06,2023-10-07,0,8.978549982354911,60.0,42.2783582900644,-0.062387158990841574,109.99367650447849,1.0,86.21193557982996,1.0,69.29857094409388,1.0,51.127317001938344,1.0,39.98169035791457,1.0,32.44897451213105,1.0,25.563658500969172,0.0,19.4489935370851,0.0,14.451193049445095,0.0,9.511863617146972,0.0,5.019788549373331,0.0,0.0,0.0,16.7971728347,2.3004377874182094
member,2023-24,06,2023-10-07,1,5.338563963675645,50.0,43.17018152461065,-0.041512475333139634,124.62268439485852,1.0,97.34174161615952,1.0,76.64337812636802,1.0,56.59892970345635,1.0,44.683365555360275,1.0,35.45734674074646,1.0,28.11081587649065,1.0,21.788274464916185,1.0,15.49163375292833,1.0,10.309732519938535,0.0,4.964818395040027,0.0,0.0,0.0,23.3952005327,1.8466522386410884
member,2023-24,06,2023-10-07,2,16.962807775185937,76.0,43.261575924717064,-0.039397640766142855,170.8891397848965,1.0,128.64950926522386,1.0,98.46908697583348,1.0,70.5079143394265,1.0,54.562425735220856,1.0,42.70159389372291,0.0,33.46042535186379,0.0,25.563658500969176,0.0,18.481518820819005,0.0,12.411479564981462,0.0,5.899305807915965,0.0,0.0,0.0,33.3479716648,2.888303385576289
member,2023-24,06,2023-10-07,3,28.497276446612418,97.0,43.261575924717064,-0.039397640766142855,285.2086737378089,1.0,200.00952032857396,1.0,146.72074804296784,1.0,99.47179669919683,1.0,73.24843759839257,0.0,56.22163175298131,0.0,43.393563042952444,0.0,32.446181943537795,0.0,23.896018383990324,0.0,15.25505882626787,0.0,7.475899303007466,0.0,0.0,0.0,43.6400139956,3.384297935240019
member,2023-24,36,2023-10-07,0,6.864085683185032,26.0,37.143838622610666,0.003879993421772739,143.0796893986998,1.0,105.08988488348385,1.0,79.23813824262588,1.0,57.77731800936043,1.0,45.108851231171634,1.0,35.880345343636066,1.0,28.23875482983927,1.0,21.94838528647267,0.0,15.829542325367207,0.0,10.571460447374541,0.0,5.435683700869852,0.0,0.0,0.0,16.1046940309,2.062306278409241
member,2023-24,36,2023-10-07,1,4.917021612045532,33.0,35.66612609051809,-0.036716523305900736,147.63247855529983,1.0,107.99858202640449,1.0,82.44120279652611,1.0,59.64685161744816,1.0,46.93788333837769,1.0,36.59386767085826,1.0,28.99031307130589,1.0,22.8629013400757,1.0,16.726920838720794,1.0,10.805200669448979,1.0,5.127207976379971,1.0,0.0,0.0,17.7194042618,1.7778332162222
member,2023-24,36,2023-10-07,2,7.724818857393944,47.0,33.83709398331204,-0.08936025679132267,177.56566756174857,1.0,129.92982977262773,1.0,98.14723941416159,1.0,68.93470195971489,1.0,52.6171490544328,1.0,41.41993589955443,1.0,32.92257792970901,1.0,24.914721470524455,1.0,17.784202288443634,0.0,11.888708696839366,0.0,5.824223131447738,0.0,0.0,0.0,20.6094056806,2.1661717065427646
member,2023-24,36,2023-10-07,3,12.61997357828191,56.0,32.008061876105984,-0.14493010794613337,271.02013910015364,1.0,186.58229654590806,1.0,136.86587514635377,1.0,93.28063746750885,1.0,69.13621365954572,1.0,52.127415055372595,1.0,39.50879123416173,1.0,29.588414998389325,0.0,20.980148773297678,0.0,13.506500836811224,0.0,6.518075603790095,0.0,0.0,0.0,24.8088182321,2.61153736079892
member,2023-24,42,2023-10-07,0,4.521167604420383,40.0,35.180614013670954,-0.15307687406025455,123.40350694882257,1.0,91.13169652075835,1.0,70.37931971883563,1.0,51.34907205384293,1.0,40.512206614281695,1.0,31.602498728860905,1.0,25.038392714253856,1.0,19.47404478685486,1.0,14.375179003085087,1.0,9.240750202321838,1.0,4.504304566126571,0.0,0.0,0.0,13.6309845545,1.7085893604611901
member,2023-24,42,2023-10-07,1,4.6431759731228786,38.0,33.98067582648738,-0.18778006170929387,134.97360399134865,1.0,96.52117178109722,1.0,74.77724513897901,1.0,54.03115087649266,1.0,42.42127247692842,1.0,33.49887698857681,1.0,26.63088146749529,1.0,20.064958585324288,1.0,14.469255798852451,1.0,9.279347847266585,1.0,4.552549076776508,0.0,0.0,0.0,16.8022643383,1.7304470228216893
member,2023-24,42,2023-10-07,2,8.451307606499253,49.0,33.98067582648738,-0.18778006170929387,181.4891536044994,1.0,130.50427262259367,1.0,99.17224325025542,1.0,69.74980827542146,1.0,53.363051399330004,1.0,41.659696205744325,1.0,32.906157075595175,1.0,24.86594506220283,0.0,18.209563722563207,0.0,12.276196199312395,0.0,5.993081876444293,0.0,0.0,0.0,17.1923817632,2.2461531029913817
member,2023-24,42,2023-10-07,3,8.739631759858053,30.0,35.76913244893408,-0.13648676732174334,331.7388056578577,1.0,234.24862396667717,1.0,169.84850812905938,1.0,112.61075004635693,1.0,81.37477632132504,1.0,62.264334823210305,1.0,47.83488074564405,1.0,36.47523160572037,1.0,25.932621025477207,1.0,17.07896785552728,1.0,8.118603233924063,0.0,0.0,0.0,23.62358116,2.2762033099436483
member,2023-24,56,2023-10-07,0,3.080988117826548,4.0,8.5650929641102,0.3559355164424461,79.533006095309,1.0,53.1568576658756,1.0,39.38334159280956,1.0,26.9188636014892,1.0,20.537876825451935,1.0,15.514649718379523,1.0,13.037330184625226,1.0,9.48877351866933,0.0,6.195295084100137,0.0,3.7123860511455433,0.0,2.3233749570257807,0.0,0.0,0.0,1.1312251014,1.4063391448356388
member,2023-24,56,2023-10-07,1,3.722106335776912,4.0,9.664883211977381,0.47673955975627075,78.76668318561912,1.0,57.5084813304542,1.0,44.70008485539539,1.0,31.39539613126506,1.0,24.162208029943454,1.0,18.444220983690297,1.0,14.556028049068754,0.0,11.813745475466625,0.0,8.456772810480206,0.0,5.879118121953486,0.0,2.5554895719471933,0.0,0.0,0.0,1.1858862424,1.552254957634018
member,2023-24,56,2023-10-07,3,6.472768172533509,1.0,10.872993613474554,0.5945225954126543,120.53689396587168,1.0,88.31415993539113,1.0,67.29715900372301,1.0,47.737383748860076,1.0,36.24331204491518,0.0,27.78653923443497,0.0,21.745987226949108,0.0,16.649381080998342,0.0,12.081104014971725,0.0,8.265987309396488,0.0,4.562687566826321,0.0,0.0,0.0,1.4472198664,2.011265502458866
prod_ours,2023-24,02,2023-10-07,0,2.7916524917697516,14.0,9.894863201374882,0.09479117659746594,76.96004712180464,1.0,54.95216342437375,1.0,40.6488489341495,1.0,28.56303069514526,1.0,21.505382549556476,1.0,16.479583491610544,1.0,12.941045365225097,1.0,9.705784023918826,1.0,7.685730225145882,1.0,4.397716978388836,0.0,2.198858489194418,0.0,0.0,0.0,4.6601453022,1.3328019377275653
prod_ours,2023-24,02,2023-10-07,1,5.598986404191609,21.0,11.862624918123007,0.2761681170500091,177.00810838015067,1.0,114.34064143810976,1.0,79.17991440849418,1.0,51.67646517839026,1.0,37.702698053582964,1.0,28.562240349988752,1.0,21.48437375206136,1.0,16.47563176582801,1.0,11.736572133152299,0.0,6.764645847544196,0.0,3.3054008402001855,0.0,0.0,0.0,8.7558182197,1.8869160621160297
prod_ours,2023-24,02,2023-10-07,2,9.393155296188416,30.0,12.0937216905693,0.2954618720596171,241.56752392812913,1.0,165.0207320418412,1.0,117.54782873412798,1.0,74.76197897776673,1.0,53.87374297727166,1.0,39.642479197984876,1.0,29.768624794105115,1.0,22.073870250507113,0.0,15.396751495299965,0.0,10.63714288855509,0.0,5.203023058054399,0.0,0.0,0.0,14.7521359533,2.341147444877831
prod_ours,2023-24,02,2023-10-07,3,10.684900358787358,33.0,12.0937216905693,0.2954618720596171,254.5072255160936,1.0,176.88086280995316,1.0,126.43436312867905,1.0,83.57763138688301,1.0,61.568037697443714,1.0,46.14978881388679,1.0,34.448798950251096,1.0,25.80121692109575,0.0,17.716920698526053,0.0,12.079495477752186,0.0,5.504259329394603,0.0,0.0,0.0,16.3082053601,2.4582974406790985
prod_ours,2023-24,06,2023-10-07,0,9.901354857583724,60.0,40.706196451444384,-0.10028216194592786,143.1107663743131,1.0,108.09822587446197,1.0,84.24235767574875,1.0,61.37003994891974,1.0,47.58472809011701,1.0,37.95260901718649,1.0,30.063529430953537,0.0,23.178239553343563,0.0,16.96213336687127,0.0,11.346483816601648,0.0,5.604228018277212,0.0,0.0,0.0,16.7971728347,2.3888870803715267
prod_ours,2023-24,06,2023-10-07,1,8.587356599838689,50.0,37.27875682656796,-0.18823884743577562,270.0508642632408,1.0,177.56460488444213,1.0,129.28365166440102,1.0,87.36939726163672,1.0,66.37436603982317,1.0,51.29367179076351,1.0,39.985087687615064,1.0,30.06352943095354,1.0,21.582408854009685,0.0,14.317438292899187,0.0,6.634196429697042,0.0,0.0,0.0,23.3952005327,2.2604452095894643
prod_ours,2023-24,06,2023-10-07,2,21.147314202079244,76.0,34.33569707710207,-0.2704769456727477,402.1857804970822,1.0,261.89063939564454,1.0,181.63293141437,1.0,117.0708667642124,1.0,86.07657987648163,1.0,65.27690091900621,1.0,49.85435756901485,0.0,37.278756826567964,0.0,27.090059053630515,0.0,17.65835849679535,0.0,8.308910920714183,0.0,0.0,0.0,33.3479716648,3.0977162341540287
prod_ours,2023-24,06,2023-10-07,3,33.74488632554501,97.0,31.770689913322446,-0.34811832585050917,506.3831022129425,1.0,334.50618610885886,1.0,229.3919243850072,1.0,144.08334133656976,1.0,100.29531706100924,1.0,75.30645852631652,0.0,56.73375715010282,0.0,42.18385640901111,0.0,30.24920118909603,0.0,20.042352953969022,0.0,9.677683724420898,0.0,0.0,0.0,43.6400139956,3.548032405082856
prod_ours,2023-24,36,2023-10-07,0,8.731091287270184,26.0,39.47340887527062,0.06470933953555374,213.73132508427116,1.0,147.6172736305955,1.0,109.62468624342854,1.0,76.43758797682754,1.0,59.5397023514342,1.0,46.34115881633277,1.0,36.39228038114405,1.0,27.913435062743204,0.0,19.874508680124414,0.0,12.887276059926066,0.0,6.341630984348164,0.0,0.0,0.0,16.1046940309,2.2753260468738667
prod_ours,2023-24,36,2023-10-07,1,10.597976457803856,33.0,42.32036928867518,0.13435060097065807,421.4115218462893,1.0,277.35471842635525,1.0,193.92785760793373,1.0,127.76863472703404,1.0,94.4462557592425,1.0,71.69114107065275,1.0,56.16873157565516,1.0,42.160466352305924,1.0,30.614735230105453,1.0,19.72315318027225,0.0,9.90476728032823,0.0,0.0,0.0,17.7194042618,2.450830639602547
prod_ours,2023-24,36,2023-10-07,2,12.97581345276709,47.0,43.22080267779593,0.1554040101684904,628.8501336846815,1.0,406.08946949108326,1.0,279.02903344467694,1.0,175.52845580815236,1.0,124.85217954791719,1.0,92.7166115442403,1.0,70.68494147432182,1.0,53.24320266896969,1.0,38.04978590608897,1.0,24.460576653914337,1.0,11.933821287872512,1.0,0.0,0.0,20.6094056806,2.6373282250585794
prod_ours,2023-24,36,2023-10-07,3,15.921147426762964,56.0,40.51950251043368,0.09086548903091912,751.8708842497148,1.0,502.1625582824288,1.0,338.85513642589734,1.0,204.85135730999943,1.0,143.00724212578822,1.0,104.90930034195942,1.0,78.58867324334862,1.0,57.33641641164328,1.0,40.50937702864663,1.0,26.10090107292529,0.0,12.606067447690478,0.0,0.0,0.0,24.8088182321,2.8285641666992625
prod_ours,2023-24,42,2023-10-07,0,5.661942657619778,40.0,35.13357561578727,-0.15441482320390673,177.51602811940072,1.0,125.38731661282725,1.0,95.58836472368013,1.0,67.02135838793917,1.0,51.716306470358404,1.0,40.512206614281695,1.0,31.530131962886013,1.0,23.67322668929054,1.0,17.649404781420714,1.0,11.406092179838812,1.0,5.643939151422543,0.0,0.0,0.0,13.6309845545,1.8964111323522432
prod_ours,2023-24,42,2023-10-07,1,8.587981989368291,38.0,31.5723459097047,-0.2612904587004873,411.36925852029566,1.0,256.7492499828851,1.0,172.53903177749768,1.0,107.42436324067808,1.0,78.47983126126596,1.0,59.55451540693687,1.0,45.486257036355624,1.0,34.23271470256196,1.0,24.3558097017722,1.0,15.500348380885303,1.0,8.070358723274133,0.0,0.0,0.0,16.8022643383,2.2605104381148347
prod_ours,2023-24,42,2023-10-07,2,15.001250751314052,49.0,30.629271049660694,-0.2916159447173919,921.5963554406295,1.0,510.6092916408892,1.0,308.53116048955764,1.0,173.9059518644975,1.0,118.01277963251621,1.0,84.75388446520117,1.0,63.38830680487125,1.0,46.90748535156127,1.0,32.95379547522477,1.0,20.776488304195905,0.0,10.101815503535374,0.0,0.0,0.0,17.1923817632,2.7726668911416414
prod_ours,2023-24,42,2023-10-07,3,19.27689547371481,30.0,30.51651681562733,-0.29530399472947033,1634.545451096712,1.0,946.1115007524924,1.0,554.41371424371,1.0,279.64077805738447,1.0,179.77051524692854,1.0,122.74382525299825,1.0,89.17316928164365,1.0,64.04675884540096,1.0,44.57815741010801,1.0,27.575160403880737,1.0,13.531005389873439,1.0,0.0,0.0,23.62358116,3.0094820838544036
prod_ours,2023-24,56,2023-10-07,0,5.7196791224465695,4.0,11.934345937215019,0.687660986984386,171.85458149589627,1.0,119.91130149754281,1.0,83.3596177033049,1.0,54.867841195751986,1.0,39.32304136193536,1.0,29.412455942790686,1.0,22.08642199550051,0.0,16.63470527322267,0.0,11.846291090560994,0.0,7.449828408581594,0.0,3.6707541274757993,0.0,0.0,0.0,1.1312251014,1.905040403759081
prod_ours,2023-24,56,2023-10-07,1,11.95442393409206,4.0,19.09495349954403,1.1576646162301216,365.8538842745733,1.0,256.1194051174006,1.0,187.3692312142758,1.0,121.71565275181753,1.0,88.1920593092936,1.0,65.23796168084733,1.0,50.1669730755026,0.0,36.80038712072657,0.0,25.936479815827383,0.0,16.561326234344314,0.0,7.733459755633877,0.0,0.0,0.0,1.1858862424,2.5614373463401106
prod_ours,2023-24,56,2023-10-07,3,10.398888718450154,1.0,15.514649718379523,0.950025251451877,285.0954254091476,1.0,194.54996875621742,1.0,137.7245857706777,1.0,91.89446371655565,1.0,68.02577184212561,0.0,52.6141424938198,0.0,39.91167067273371,0.0,30.202760037429314,0.0,21.48182268698703,0.0,13.700632724241386,0.0,7.013849484572303,0.0,0.0,0.0,1.4472198664,2.4335158698111785
member,2023-24,02,2023-10-14,0,3.0309832496895126,21.0,16.185787888613902,0.14507623675196638,65.15346561021772,1.0,49.57942025781472,1.0,38.326783549971736,1.0,28.916714943459848,1.0,21.89478729504698,1.0,17.588755404077837,1.0,13.948957484072382,1.0,10.880820635365037,1.0,8.250753012447039,0.0,5.170289868854125,0.0,2.3863552474668666,0.0,0.0,0.0,6.7974651878,1.3940103287529177
member,2023-24,02,2023-10-14,1,6.078769508612716,30.0,18.20901137469064,0.2628592724083497,76.83977108722307,1.0,58.60614240402803,1.0,45.450787134933265,1.0,33.20464275924046,1.0,26.122335473137937,1.0,20.232234860767377,1.0,16.52755895815755,0.0,12.408695685249903,0.0,8.586711020420992,0.0,5.749260080533041,0.0,3.081548682478889,0.0,0.0,0.0,12.6547186274,1.9571000943824248
member,2023-24,02,2023-10-14,2,6.702648214122228,33.0,19.647101501645682,0.33887249154231724,99.32280898963614,1.0,75.40698774659384,1.0,57.66186935318703,1.0,41.519442565960205,1.0,32.25781326348769,1.0,25.862304733130415,1.0,19.916456270435155,0.0,15.494586523272705,0.0,11.825093686206037,0.0,7.255774438571429,0.0,3.483409757891149,0.0,0.0,0.0,14.2374735947,2.0415641936433437
member,2023-24,02,2023-10-14,3,9.275219820155383,39.0,20.681159475416507,0.39016578592986767,147.71683497144716,1.0,109.21134686445087,1.0,82.63453817412983,1.0,57.00786594179013,1.0,43.49930495064986,1.0,34.12391313443724,1.0,26.066937708686332,0.0,19.90416525681631,0.0,14.476811632791554,0.0,9.279383291787969,0.0,4.136231895083302,0.0,0.0,0.0,18.2861741183,2.329735153842545
member,2023-24,06,2023-10-14,0,16.064508882227134,50.0,78.60758746908556,0.14496052228564124,196.5329647241764,1.0,152.89464666436064,1.0,122.06201078585238,1.0,91.56825758658522,1.0,72.19837064103416,1.0,58.10566175023198,0.0,46.16931686402337,0.0,35.5084103870709,0.0,26.391786115859986,0.0,17.199332389412916,0.0,8.174009209776074,0.0,0.0,0.0,15.3693258892,2.8370008027020632
member,2023-24,06,2023-10-14,1,12.130875475789885,76.0,93.47090916033741,0.3181425507319389,265.39293343377915,1.0,204.59764041017215,1.0,160.34119248696754,1.0,119.50511006128045,1.0,93.57207408694237,1.0,73.92505961814905,1.0,58.96317437711305,1.0,45.2765919176414,1.0,33.39548217863697,0.0,21.552634172727636,0.0,10.670264065091132,0.0,0.0,0.0,27.8272832645,2.574966363608224
member,2023-24,06,2023-10-14,2,13.928215148496747,97.0,105.57281462923945,0.439893195730293,403.9776069996407,1.0,303.1221749347395,1.0,234.7281094138865,1.0,171.28650536784767,1.0,131.34597282728512,1.0,103.65598764098843,1.0,81.79713736140918,1.0,62.421499423111456,1.0,44.7139714884882,1.0,29.36066750371515,1.0,14.295550812757483,0.0,0.0,0.0,39.0731684588,2.7032530564138275
member,2023-24,06,2023-10-14,3,60.817996075520924,231.0,113.1137299598994,0.5088860672172444,619.532614554956,1.0,467.94819962992784,1.0,355.9890713492241,1.0,249.8339967886134,1.0,188.35474704465267,1.0,144.32599741523669,0.0,110.98982530428371,0.0,84.06118630140233,0.0,61.231679299028386,0.0,39.859123890631224,0.0,18.710490670799075,0.0,0.0,0.0,99.0281349503,4.124194520706577
member,2023-24,36,2023-10-14,0,5.363256696180478,33.0,22.675310755913337,-0.13681983733300782,88.39680670809659,1.0,64.71635757674596,1.0,50.17788718120958,1.0,36.19269320046301,1.0,28.257711935676866,1.0,22.492804561665906,1.0,17.813512847010642,1.0,13.544215586536652,0.0,9.977136732601867,0.0,6.416552998555947,0.0,3.4981814906349165,0.0,0.0,0.0,11.0543340595,1.8505403054423568
member,2023-24,36,2023-10-14,1,14.048238766825817,47.0,21.768298325676803,-0.17764183185326302,92.6457028483114,1.0,66.46544832206342,1.0,51.05243255386831,1.0,36.73090565166663,0.0,28.85999729773807,0.0,22.930398421699685,0.0,18.140248604730672,0.0,14.189593489948477,0.0,9.97575709735171,0.0,6.438270655904219,0.0,3.4677796149990954,0.0,0.0,0.0,16.0702772067,2.711260958886793
member,2023-24,36,2023-10-14,2,19.772735982151822,56.0,21.768298325676803,-0.17764183185326302,113.71673006564409,1.0,82.27133794077812,1.0,62.044616915079445,1.0,44.40246634759128,0.0,33.38649914708989,0.0,26.688834803909156,0.0,20.86128589544027,0.0,15.97115129284374,0.0,11.74450031807546,0.0,7.711675109885764,0.0,3.6584515965819584,0.0,0.0,0.0,21.1788294495,3.03364135680788
member,2023-24,36,2023-10-14,3,40.54364766296584,88.0,21.863634316468232,-0.17327181490751073,179.68325157378655,1.0,125.83713249012362,1.0,91.84295700627175,1.0,61.37516867470732,0.0,45.803437909319854,0.0,35.13558989240735,0.0,27.575385295590863,0.0,20.68153897169315,0.0,15.096605920185011,0.0,9.719465453921416,0.0,4.66746225323849,0.0,0.0,0.0,31.8983947561,3.7267446254490015
member,2023-24,42,2023-10-14,0,4.530047823853438,38.0,39.98442756785339,-0.04917955077422229,123.40856915782145,1.0,95.12300612464502,1.0,74.16546536244911,1.0,54.350053205467894,1.0,43.25752932285934,1.0,34.48126823826474,1.0,26.85719405193001,1.0,21.248517627087224,1.0,15.43380374866507,1.0,10.470034013610523,1.0,5.0762555385705355,1.0,0.0,0.0,8.6632759954,1.7101964635716118
member,2023-24,42,2023-10-14,1,5.814186200892612,49.0,42.983259635442394,0.02314111080540394,153.65619105561086,1.0,116.45700594801662,1.0,91.25589151694771,1.0,66.9913050672294,1.0,52.34177385465595,1.0,41.41229966806767,1.0,32.515607543652315,1.0,24.704569638849037,1.0,17.992992405534025,1.0,11.738589212451537,1.0,5.466597495318972,0.0,0.0,0.0,12.7573403443,1.9190066450897545
member,2023-24,42,2023-10-14,2,11.707659618717976,30.0,48.420956492144114,0.14226308710297805,251.98679166120013,1.0,185.75633132889675,1.0,141.1370628699238,1.0,99.57790326810266,1.0,75.81580480023808,1.0,58.21465492669721,1.0,45.35883627653287,0.0,34.98637412187171,0.0,24.90286083606871,0.0,16.670060702258503,0.0,8.072278688441898,0.0,0.0,0.0,16.0376985275,2.542204931245118
member,2023-24,42,2023-10-14,3,16.876163273437655,81.0,55.51449483299489,0.278974536532623,551.8381447278349,1.0,378.9396472071658,1.0,269.7329832250592,1.0,175.9314812985549,1.0,127.21273755268648,1.0,96.53335958594417,1.0,73.12552613099315,1.0,54.27707249217341,1.0,38.33066335726441,0.0,24.19031397494225,0.0,11.48194196242762,0.0,0.0,0.0,25.0913344199,2.883468164696849
member,2023-24,56,2023-10-14,0,0.9694800871193378,4.0,3.856447924578715,-0.036547828104839544,39.987209021104626,1.0,25.652171824859572,1.0,18.510950037977835,1.0,12.343135997408329,1.0,9.791369401791139,1.0,6.9466115417545655,1.0,5.424442535870138,1.0,4.483919938690798,1.0,3.017902567630538,1.0,2.2061817087162248,1.0,0.840343467417652,1.0,0.0,0.0,1.2512767295,0.6777695927503118
member,2023-24,56,2023-10-14,2,1.8803078035896283,1.0,3.8439347307965206,-0.03979784965742337,38.570915795869496,1.0,28.44511700789425,1.0,20.82481879272506,1.0,15.375738923186082,1.0,11.317134628614518,1.0,9.22294071515521,1.0,6.947705123937076,0.0,6.002177249244859,0.0,3.8639558408480323,0.0,2.3636060554845906,0.0,1.527563337292852,0.0,0.0,0.0,2.829863488,1.0578971646833941
member,2023-24,56,2023-10-14,3,1.5581873043779446,5.0,3.8439347307965206,-0.03979784965742337,53.04629928499198,1.0,38.43934730796521,1.0,27.76642505696675,1.0,19.219673653982603,1.0,14.606951977026778,1.0,10.814868131828511,1.0,9.036893759883505,1.0,6.76165816866537,1.0,4.526853851445807,1.0,3.0851583396629723,1.0,1.537573892318608,0.0,0.0,0.0,1.7351655852,0.9392989234540657
prod_ours,2023-24,02,2023-10-14,0,3.42671947034421,21.0,17.5605313930424,0.2265965196966191,103.16195155918116,1.0,73.84765724180093,1.0,55.55320309972437,1.0,38.44124623545802,1.0,29.987681239353932,1.0,22.951291499550262,1.0,18.20901137469064,1.0,14.461614088387856,1.0,10.340579737708254,1.0,6.219545387028649,0.0,3.102173921312474,0.0,0.0,0.0,6.7974651878,1.4876587838506474
prod_ours,2023-24,02,2023-10-14,1,6.569499620818476,30.0,21.69242113258179,0.437905613363826,222.56047170002552,1.0,155.78820842790878,1.0,111.7455998594465,1.0,73.53034729139088,1.0,53.928138251210115,1.0,41.36231895083301,1.0,32.02214548143026,1.0,23.758366002351483,1.0,16.898349945801577,1.0,11.362696783733316,0.0,5.665638305045999,0.0,0.0,0.0,12.6547186274,2.024126964976457
prod_ours,2023-24,02,2023-10-14,2,8.636272604737414,33.0,24.791338437236327,0.5714370059883485,304.01304428862267,1.0,215.9125995827795,1.0,158.08750392107456,1.0,105.563698247554,1.0,78.72308339097745,1.0,60.08328675809295,1.0,45.66439405339805,1.0,34.13847096114681,1.0,24.120026857715832,1.0,16.509104797095922,1.0,8.242068701359209,0.0,0.0,0.0,14.2374735947,2.2655343745908834
prod_ours,2023-24,02,2023-10-14,3,10.333670633034961,39.0,25.851449344270634,0.6133093372440774,305.76742590006063,1.0,225.58941869755625,1.0,169.4164350169241,1.0,116.27126837387299,1.0,86.9731009504116,1.0,67.77798678357073,1.0,51.71266853851507,1.0,39.29420300329136,1.0,28.908030632372025,1.0,18.20901137469064,0.0,9.306521763937429,0.0,0.0,0.0,18.2861741183,2.4277779972435587
prod_ours,2023-24,06,2023-10-14,0,15.286931317474469,50.0,75.4091533065996,0.10342095910908006,278.8884476048078,1.0,206.73820411114616,1.0,158.35071669515986,1.0,114.1910035785651,1.0,88.86798583267154,1.0,70.11515684081799,1.0,54.98288774137495,0.0,42.97335390001985,0.0,31.025364665843043,0.0,20.202424203606753,0.0,9.69134640029823,0.0,0.0,0.0,15.3693258892,2.7903630265673955
