model,location,asof,replicate,horizon,y,q50,w95,c95,r_star,w_shrink,clipped
member,New York,2026-01-07,0,1,449.0,516.5176828113822,534.491102179481,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,0,2,400.0,538.4547272551089,558.397494931224,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,0,3,328.0,561.3889100826412,610.2736193487181,0.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,0,4,345.0,584.3230929101737,721.9531183349632,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,0,1,449.0,536.7617579380656,617.6002736200946,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,0,2,400.0,600.6144577671291,901.9443275463932,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,0,3,328.0,670.4533482051673,1278.0766374769705,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,0,4,345.0,734.3060480342309,1709.1073037840201,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,1,1,449.0,517.5110044639556,546.1219699964624,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,1,2,400.0,544.1258561221018,581.5837954928262,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,1,3,328.0,566.7977667938561,664.3855562070592,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,1,4,345.0,587.4982069724143,826.0461366491329,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,1,1,449.0,538.3457590458437,660.6567323235665,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,1,2,400.0,607.3644461030032,1000.7956118599034,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,1,3,328.0,679.3410768911838,1491.9128693337757,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,1,4,345.0,753.7826607885486,2053.823580103422,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,2,1,449.0,514.227973279135,533.4231235587097,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,2,2,400.0,531.4025814240176,566.7620687811291,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,2,3,328.0,542.5155631648241,620.3316921271526,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-01-07,2,4,345.0,548.5771895689003,710.2458171209502,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,2,1,449.0,527.4901108655342,615.4051293431232,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,2,2,400.0,578.0159835538037,876.169158287282,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,2,3,328.0,622.478751519481,1205.6231111511431,1.0,1.0411562605611882,0.4180893765052181,False
control,New York,2026-01-07,2,4,345.0,662.394190943214,1600.6596467643794,1.0,1.0411562605611882,0.4180893765052181,False
member,New York,2026-02-04,0,1,337.0,286.2002772145954,300.2757006841657,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,0,2,327.0,273.0632153096632,297.46061599025165,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,0,3,411.0,259.92615340473094,309.65931633054583,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,0,4,401.0,245.85072993516067,339.68688639896243,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,0,1,337.0,275.7036927521344,320.7399847399614,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,0,2,327.0,250.3839658667343,384.5081857846727,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,0,3,411.0,224.12647131891197,452.0040132875128,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,0,4,401.0,200.68227975835632,528.924405797696,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,1,1,337.0,285.068696055573,286.95656821488143,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,1,2,327.0,273.7414630997224,285.0922944575643,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,1,3,411.0,259.5824219049092,283.18082389626454,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,1,4,401.0,245.42338071009596,300.1952717320315,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,1,1,337.0,277.5172074183393,306.77922588761993,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,1,2,327.0,250.14306110836702,348.3360117943964,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,1,3,411.0,226.54465911701166,384.2055828212566,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,1,4,401.0,201.05838496634783,436.12206720223844,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,2,1,337.0,287.81806618968585,315.1843741224757,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,2,2,327.0,276.49407670025556,309.52237937776056,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,2,3,411.0,264.22642142003946,327.4520294026917,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-02-04,2,4,401.0,251.95876613982335,363.3113294525543,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,2,1,337.0,278.34805189542953,333.07410955622584,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,2,2,327.0,254.75923393818974,409.54905737359695,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,2,3,411.0,231.17041598094994,485.92964991913965,1.0,0.9807236951979873,0.41353547016055486,False
control,New York,2026-02-04,2,4,401.0,207.58159802371017,592.5511070858636,1.0,0.9807236951979873,0.41353547016055486,False
member,New York,2026-03-04,0,1,325.0,351.8759068986799,370.55511572974325,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,0,2,303.0,333.1966980676165,369.545428765902,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,0,3,301.0,316.0320196823151,364.4969939466957,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,0,1,325.0,359.37621409468716,420.9547226895633,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,0,2,303.0,356.34776285231624,572.4025219017974,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,0,3,301.0,351.3003441150313,760.2169731161692,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,1,1,325.0,354.2208801012314,364.28397328592547,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,1,2,303.0,338.1199310057209,356.23349873817017,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,1,3,301.0,322.01898191021036,357.264965789601,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,1,1,325.0,362.0601567507622,419.38634823629957,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,1,2,303.0,362.0601567507622,556.1646296754764,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,1,3,301.0,360.0487114354802,738.2255737749391,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,2,1,325.0,347.48382740357806,347.4838274035781,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,2,2,303.0,326.7385242750063,344.3720319342923,1.0,0.9635091072050005,0.4160017953460297,False
member,New York,2026-03-04,2,3,301.0,309.1050166157202,319.47766818000616,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,2,1,325.0,353.7353345830978,394.21780212592853,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,2,2,303.0,341.287170316244,476.14228320716103,1.0,0.9635091072050005,0.4160017953460297,False
control,New York,2026-03-04,2,3,301.0,328.8390060493901,587.1643482621638,1.0,0.9635091072050005,0.4160017953460297,False
member,Pennsylvania,2026-01-07,0,1,873.0,1022.632827040077,1062.81901879553,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,0,2,882.0,1116.7531182567957,1196.0679704057159,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,0,3,734.0,1196.5967360867085,1376.958709873352,1.0,1.11237829670386,0.42226490694442154,False
member,Pennsylvania,2026-01-07,0,4,694.0,1225.6788485413126,1541.9600406271556,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,0,1,873.0,1051.6776103005857,1248.4704025701117,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,0,2,882.0,1230.4839645669829,1899.2091492656598,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,0,3,734.0,1373.317442827123,2617.555742337675,1.0,1.11237829670386,0.42226490694442154,False
control,Pennsylvania,2026-01-07,0,4,694.0,1466.4237101374363,3180.531251835603,1.0,1.11237829670386,0.42226490694442154,False
