location,fips,asof,horizon,wis_2s,base_wis,rel_2s,season,wis_pf,rel_pf
Alabama,01,2023-10-07,0,4.141002807342341,4.147669910046927,0.9983925667063243,2023-24,3.988392178674374,0.9615982624396571
Alabama,01,2023-10-07,1,7.759092884445509,6.258976928899725,1.2396743066137954,2023-24,7.594045471717038,1.2133045956205508
Alabama,01,2023-10-07,2,10.72058261749032,7.4059019408672375,1.4475728551484077,2023-24,9.487572164815932,1.2810826068951338
Alabama,01,2023-10-07,3,15.167013941362839,9.928818461858533,1.527574907288998,2023-24,13.666859056740577,1.376483930010574
Alaska,02,2023-10-07,0,2.547861891004287,4.660145302235632,0.5467344311736353,2023-24,2.7916525595529373,0.5990483940948549
Alaska,02,2023-10-07,1,5.113391927927061,8.755818219725677,0.5839993247469756,2023-24,5.598986455881775,0.6394589649278024
Alaska,02,2023-10-07,2,8.758819125600315,14.752135953294308,0.5937322672005594,2023-24,9.393155254021666,0.6367318796247994
Alaska,02,2023-10-07,3,9.820035747257345,16.308205360097077,0.6021530591762728,2023-24,10.684900339576641,0.6551855402630911
Arizona,04,2023-10-07,0,3.475170577498356,6.675590593818981,0.5205787456043309,2023-24,3.4240683305368833,0.5129236555799683
Arizona,04,2023-10-07,1,19.73944621155601,17.184491888788454,1.1486779090881625,2023-24,20.343690058547846,1.1838400687203632
Arizona,04,2023-10-07,2,17.30933538042259,16.692170929861483,1.0369732884448857,2023-24,17.76594690405429,1.0643281199734105
Arizona,04,2023-10-07,3,18.67579460490531,18.474558505041564,1.0108926067060726,2023-24,18.82428081147351,1.01892994121275
Arkansas,05,2023-10-07,0,3.6913799102849647,4.118312458559368,0.8963331333961608,2023-24,3.465410973430462,0.841463829736392
Arkansas,05,2023-10-07,1,8.61390427153755,5.793053119161626,1.486936869790719,2023-24,7.6626759891514835,1.3227353230726857
Arkansas,05,2023-10-07,2,19.23571805945772,5.952401175229144,3.2315896548617995,2023-24,15.837222008625492,2.6606442580738556
Arkansas,05,2023-10-07,3,27.394807474638217,7.370537781769125,3.7167990024281155,2023-24,21.819608012608942,2.9603820859014247
California,06,2023-10-07,0,8.23520299021806,16.79717283470661,0.49027315913558617,2023-24,9.901355021492169,0.5894655677432702
California,06,2023-10-07,1,7.503696389612208,23.395200532700986,0.3207365706963617,2023-24,8.587356717418352,0.36705634155241573
California,06,2023-10-07,2,16.10697974545618,33.34797166482541,0.48299728413303805,2023-24,21.147313983049813,0.6341409365342439
California,06,2023-10-07,3,24.813457121651794,43.64001399557471,0.5685941604915156,2023-24,33.74488622033795,0.7732556232397138
Colorado,08,2023-10-07,0,2.643967214851168,4.2827510986414214,0.6173525273719245,2023-24,2.6878094126875824,0.6275894514486756
Colorado,08,2023-10-07,1,4.203640698267921,5.8470620424465105,0.7189321180024705,2023-24,4.462285864453608,0.7631671824344985
Colorado,08,2023-10-07,2,7.147141134680159,7.26860034404692,0.983289876507485,2023-24,8.126857849951643,1.1180774104064817
Colorado,08,2023-10-07,3,12.213902108474642,10.550686972826247,1.1576404588565727,2023-24,13.382493227814917,1.2684001773801186
Connecticut,09,2023-10-07,0,0.682001439951511,3.734987668289725,0.1825980432925509,2023-24,0.6241193622262015,0.16710078256081357
Connecticut,09,2023-10-07,1,0.9512094876311213,4.98141297480366,0.19095174249603605,2023-24,0.7691098730457143,0.15439592680549205
Connecticut,09,2023-10-07,2,2.894336563323179,4.810581151137597,0.6016604797611057,2023-24,3.004987680522622,0.6246620909434214
Connecticut,09,2023-10-07,3,6.05978640070209,5.903668731687319,1.0264441783762062,2023-24,6.398923082788344,1.0838892515162308
Delaware,10,2023-10-07,1,6.447898953583389,1.0227532189017543,6.304452368780835,2023-24,6.541142132809618,6.395621164442368
Delaware,10,2023-10-07,2,12.15606582700623,1.2976191700177873,9.36797645093329,2023-24,13.834241565022264,10.661249374755021
Delaware,10,2023-10-07,3,15.286857721400677,1.5578575591408097,9.812744195837578,2023-24,17.407476987368597,11.173984993191018
District of Columbia,11,2023-10-07,0,1.9172624907766285,1.0361812444211398,1.8503157638678382,2023-24,1.8102416741764384,1.7470318864801744
District of Columbia,11,2023-10-07,1,4.614588577815277,1.4013014663624894,3.293073395401395,2023-24,4.3159460059084935,3.0799553911207016
District of Columbia,11,2023-10-07,2,9.298331408458989,0.8712255885167542,10.672702375844159,2023-24,8.549956154129541,9.813711014486714
Florida,12,2023-10-07,0,36.170600299483034,24.397629837602725,1.482545662846941,2023-24,39.69256485701013,1.626902495087214
Florida,12,2023-10-07,1,60.25605592844744,62.15358830679612,0.9694702682493201,2023-24,68.10164425226327,1.0956993169261118
Florida,12,2023-10-07,2,109.3454344379883,73.49494493105803,1.4877953108279738,2023-24,131.23940906510424,1.785693004984403
Florida,12,2023-10-07,3,160.3654033416664,158.33349735825612,1.0128330771271523,2023-24,197.6283003591632,1.2481774460649726
Georgia,13,2023-10-07,0,5.936826643745418,4.809296532487064,1.2344480328134948,2023-24,6.0465970282264445,1.257272656693416
Georgia,13,2023-10-07,1,9.098398764291527,5.996697312407912,1.517234952890787,2023-24,8.466744844819187,1.4119013189644305
Georgia,13,2023-10-07,2,17.151265219716855,7.087513657919186,2.4199269373615957,2023-24,15.265266730856299,2.1538253705937844
Georgia,13,2023-10-07,3,30.424186786874404,11.723126358263604,2.5952280865273165,2023-24,26.975906043644073,2.3010846440829176
Hawaii,15,2023-10-07,0,2.6687256260772987,2.775749290253766,0.9614433246719184,2023-24,2.6914983490308444,0.969647496076557
Hawaii,15,2023-10-07,1,3.9354847795731613,1.7947050700507001,2.1928309253965526,2023-24,4.040137643724354,2.2511429377141177
Hawaii,15,2023-10-07,2,6.75255347294747,1.859437845748022,3.631502654626795,2023-24,6.774747268581348,3.6434384102018615
Hawaii,15,2023-10-07,3,9.54349754018097,2.3370968415336337,4.083483992010533,2023-24,9.586422327002996,4.101850704959346
Idaho,16,2023-10-07,0,1.932302533796515,1.5935115693548227,1.2126065294768216,2023-24,1.9571238742569377,1.2281830341836384
Idaho,16,2023-10-07,1,3.6758241121048294,2.160266736602146,1.70156029800583,2023-24,3.815400494779337,1.7661710149648133
Idaho,16,2023-10-07,2,5.527787737282418,2.918986201470711,1.893735480660128,2023-24,5.782454009730442,1.9809802481481387
Idaho,16,2023-10-07,3,7.267168129939665,3.681137411917599,1.9741637751452508,2023-24,7.745556511896174,2.104120451146461
Illinois,17,2023-10-07,0,2.9998063967965356,6.3277397169406475,0.4740723435203005,2023-24,2.7204554029469805,0.4299253010776925
Illinois,17,2023-10-07,1,5.9160123980996895,10.329398369570654,0.5727354281859874,2023-24,5.470807387495074,0.529634659421357
Illinois,17,2023-10-07,2,7.02068533960202,11.777612466515968,0.5961042918980392,2023-24,5.455164744485435,0.4631808662404709
Illinois,17,2023-10-07,3,11.512027776156241,15.97323869603913,0.7207071775000062,2023-24,10.078664147510022,0.6309718610796957
Indiana,18,2023-10-07,0,10.262815946555992,6.757840512144253,1.518653174503465,2023-24,10.028032309618132,1.4839107687725308
Indiana,18,2023-10-07,1,11.111015610061916,8.549942070551143,1.2995427943695625,2023-24,11.076539646689207,1.2955104906313355
Indiana,18,2023-10-07,2,16.205600022882408,12.15423642477729,1.3333293393771837,2023-24,15.972055333997886,1.3141142541408604
Indiana,18,2023-10-07,3,22.394978447117893,16.527703348794365,1.3549963945082257,2023-24,22.102807511312715,1.3373187456758797
Iowa,19,2023-10-07,0,1.670590666230147,2.4466027404839252,0.6828205652625539,2023-24,1.6191125005535831,0.6617798933035328
Iowa,19,2023-10-07,1,2.784464078659028,2.5540804630872405,1.090202176047857,2023-24,2.6816099262428144,1.0499316544637842
